瘤痢,瘤痢疙,老矫,碍荐樊(mm)
192,柳林,2021-01-18 09:00,0
192,柳林,2021-01-18 12:00,0
192,柳林,2021-01-18 15:00,.2
192,柳林,2021-01-21 18:00,0
192,柳林,2021-01-21 21:00,.6
192,柳林,2021-01-22 00:00,1.1
192,柳林,2021-01-22 03:00,.2
192,柳林,2021-01-22 06:00,1
192,柳林,2021-01-22 09:00,0
192,柳林,2021-01-22 15:00,0
192,柳林,2021-01-22 21:00,0
192,柳林,2021-01-23 09:00,0
192,柳林,2021-01-23 12:00,.3
192,柳林,2021-01-23 18:00,0
192,柳林,2021-01-23 21:00,.1
192,柳林,2021-01-24 00:00,1
192,柳林,2021-01-24 03:00,0
192,柳林,2021-01-26 06:00,.1
192,柳林,2021-01-26 09:00,2.7
192,柳林,2021-01-26 12:00,4.2
192,柳林,2021-01-26 15:00,2.7
192,柳林,2021-01-26 18:00,.6
192,柳林,2021-02-01 00:00,1
192,柳林,2021-02-01 03:00,8.2
192,柳林,2021-02-01 06:00,6.3
192,柳林,2021-02-01 09:00,1.5
192,柳林,2021-02-14 18:00,0
192,柳林,2021-02-14 21:00,2.8
192,柳林,2021-02-15 00:00,.9
192,柳林,2021-02-15 06:00,0
192,柳林,2021-02-16 18:00,0
192,柳林,2021-02-25 12:00,0
192,柳林,2021-02-25 15:00,.1
192,柳林,2021-02-25 18:00,1.1
192,柳林,2021-02-25 21:00,.6
192,柳林,2021-02-26 00:00,.8
192,柳林,2021-02-26 03:00,1.2
192,柳林,2021-02-26 06:00,.9
192,柳林,2021-02-26 09:00,.3
192,柳林,2021-02-28 15:00,0
192,柳林,2021-02-28 18:00,.2
192,柳林,2021-03-01 00:00,0
192,柳林,2021-03-01 09:00,.1
192,柳林,2021-03-01 12:00,3.5
192,柳林,2021-03-01 15:00,9.7
192,柳林,2021-03-01 18:00,17.3
192,柳林,2021-03-01 21:00,4.3
192,柳林,2021-03-02 00:00,3.7
192,柳林,2021-03-02 03:00,1.5
192,柳林,2021-03-02 06:00,.4
192,柳林,2021-03-04 15:00,.5
192,柳林,2021-03-04 18:00,4.2
192,柳林,2021-03-04 21:00,2.4
192,柳林,2021-03-05 00:00,.4
192,柳林,2021-03-12 00:00,.7
192,柳林,2021-03-12 03:00,3.3
192,柳林,2021-03-12 06:00,8.1
192,柳林,2021-03-12 09:00,4.5
192,柳林,2021-03-12 12:00,2.9
192,柳林,2021-03-12 15:00,5.8
192,柳林,2021-03-12 18:00,.4
192,柳林,2021-03-12 21:00,.2
192,柳林,2021-03-16 00:00,.3
192,柳林,2021-03-16 03:00,1.7
192,柳林,2021-03-16 06:00,.1
192,柳林,2021-03-20 03:00,0
192,柳林,2021-03-20 06:00,1.8
192,柳林,2021-03-20 09:00,5.7
192,柳林,2021-03-20 12:00,4.4
192,柳林,2021-03-20 15:00,.8
192,柳林,2021-03-20 18:00,.1
192,柳林,2021-03-27 15:00,1.4
192,柳林,2021-03-27 18:00,14.9
192,柳林,2021-03-27 21:00,40.6
192,柳林,2021-03-28 00:00,11.5
192,柳林,2021-03-28 03:00,2
192,柳林,2021-04-02 04:00,0
192,柳林,2021-04-03 10:00,.8
192,柳林,2021-04-03 11:00,1.4
192,柳林,2021-04-03 12:00,1.5
192,柳林,2021-04-03 13:00,4.6
192,柳林,2021-04-03 14:00,5.5
192,柳林,2021-04-03 15:00,1.5
192,柳林,2021-04-03 16:00,4.5
192,柳林,2021-04-03 17:00,4.9
192,柳林,2021-04-03 18:00,5.6
192,柳林,2021-04-03 19:00,2
192,柳林,2021-04-03 20:00,1.7
192,柳林,2021-04-03 21:00,.7
192,柳林,2021-04-03 22:00,.3
192,柳林,2021-04-03 23:00,.5
192,柳林,2021-04-04 00:00,.1
192,柳林,2021-04-04 05:00,0
192,柳林,2021-04-04 06:00,.5
192,柳林,2021-04-04 07:00,.1
192,柳林,2021-04-04 08:00,4.3
192,柳林,2021-04-04 09:00,1.1
192,柳林,2021-04-04 10:00,1.6
192,柳林,2021-04-04 11:00,.1
192,柳林,2021-04-04 12:00,.1
192,柳林,2021-04-04 14:00,0
192,柳林,2021-04-04 15:00,.1
192,柳林,2021-04-12 09:00,.6
192,柳林,2021-04-12 10:00,.3
192,柳林,2021-04-12 11:00,.5
192,柳林,2021-04-12 12:00,.6
192,柳林,2021-04-12 13:00,1.6
192,柳林,2021-04-12 14:00,1.7
192,柳林,2021-04-12 15:00,1.7
192,柳林,2021-04-12 16:00,1.8
192,柳林,2021-04-12 17:00,4.6
192,柳林,2021-04-12 18:00,4
192,柳林,2021-04-12 19:00,2.7
192,柳林,2021-04-12 20:00,2.5
192,柳林,2021-04-12 21:00,3.4
192,柳林,2021-04-12 22:00,4
192,柳林,2021-04-12 23:00,3
192,柳林,2021-04-13 00:00,2.5
192,柳林,2021-04-13 01:00,1.8
192,柳林,2021-04-13 02:00,.4
192,柳林,2021-04-30 00:00,0
192,柳林,2021-04-30 01:00,.1
192,柳林,2021-04-30 03:00,0
192,柳林,2021-04-30 04:00,0
192,柳林,2021-04-30 23:00,.2
192,柳林,2021-05-01 00:00,.7
192,柳林,2021-05-01 01:00,.9
192,柳林,2021-05-01 02:00,3
192,柳林,2021-05-01 03:00,3.4
192,柳林,2021-05-01 04:00,2.2
192,柳林,2021-05-01 05:00,.7
192,柳林,2021-05-01 08:00,0
192,柳林,2021-05-01 14:00,0
192,柳林,2021-05-04 11:00,0
192,柳林,2021-05-04 12:00,0
192,柳林,2021-05-04 14:00,0
192,柳林,2021-05-04 15:00,.3
192,柳林,2021-05-04 16:00,.7
192,柳林,2021-05-04 17:00,.3
192,柳林,2021-05-04 18:00,.4
192,柳林,2021-05-04 19:00,5.5
192,柳林,2021-05-04 20:00,8.9
192,柳林,2021-05-04 21:00,14.8
192,柳林,2021-05-04 22:00,12.5
192,柳林,2021-05-04 23:00,6.7
192,柳林,2021-05-05 00:00,.4
192,柳林,2021-05-10 08:00,0
192,柳林,2021-05-15 02:00,.1
192,柳林,2021-05-15 05:00,1.2
192,柳林,2021-05-15 06:00,.8
192,柳林,2021-05-15 07:00,.1
192,柳林,2021-05-15 08:00,1.3
192,柳林,2021-05-15 09:00,6.6
192,柳林,2021-05-15 10:00,1.4
192,柳林,2021-05-15 11:00,.1
192,柳林,2021-05-15 12:00,.1
192,柳林,2021-05-16 01:00,.2
192,柳林,2021-05-16 02:00,3.2
192,柳林,2021-05-16 03:00,1.4
192,柳林,2021-05-16 04:00,.4
192,柳林,2021-05-16 05:00,.4
192,柳林,2021-05-16 06:00,1.2
192,柳林,2021-05-16 07:00,0
192,柳林,2021-05-16 08:00,.1
192,柳林,2021-05-16 11:00,1.4
192,柳林,2021-05-16 12:00,4.8
192,柳林,2021-05-16 13:00,.2
192,柳林,2021-05-16 14:00,0
192,柳林,2021-05-16 16:00,1.9
192,柳林,2021-05-16 17:00,1
192,柳林,2021-05-16 19:00,.1
192,柳林,2021-05-16 20:00,.1
192,柳林,2021-05-16 21:00,.1
192,柳林,2021-05-16 22:00,.3
192,柳林,2021-05-17 13:00,0
192,柳林,2021-05-17 14:00,.1
192,柳林,2021-05-17 15:00,.4
192,柳林,2021-05-17 16:00,0
192,柳林,2021-05-17 18:00,.3
192,柳林,2021-05-17 21:00,.2
192,柳林,2021-05-17 22:00,.1
192,柳林,2021-05-17 23:00,0
192,柳林,2021-05-18 00:00,.2
192,柳林,2021-05-18 01:00,.1
192,柳林,2021-05-18 02:00,.3
192,柳林,2021-05-18 03:00,.1
192,柳林,2021-05-18 04:00,.1
192,柳林,2021-05-18 05:00,.1
192,柳林,2021-05-18 06:00,.1
192,柳林,2021-05-18 07:00,.9
192,柳林,2021-05-18 08:00,.1
192,柳林,2021-05-18 09:00,.2
192,柳林,2021-05-18 10:00,.2
192,柳林,2021-05-20 05:00,0
192,柳林,2021-05-20 06:00,0
192,柳林,2021-05-20 07:00,.5
192,柳林,2021-05-20 08:00,1.9
192,柳林,2021-05-20 09:00,1.4
192,柳林,2021-05-20 10:00,2.8
192,柳林,2021-05-20 11:00,5.6
192,柳林,2021-05-20 12:00,2.5
192,柳林,2021-05-20 13:00,3
192,柳林,2021-05-20 14:00,.4
192,柳林,2021-05-20 15:00,.2
192,柳林,2021-05-20 16:00,.6
192,柳林,2021-05-20 17:00,.7
192,柳林,2021-05-20 18:00,.2
192,柳林,2021-05-20 19:00,.3
192,柳林,2021-05-20 20:00,.9
192,柳林,2021-05-20 21:00,.2
192,柳林,2021-05-20 22:00,.3
192,柳林,2021-05-20 23:00,.3
192,柳林,2021-05-24 00:00,0
192,柳林,2021-05-24 01:00,0
192,柳林,2021-05-24 04:00,0
192,柳林,2021-05-24 05:00,.1
192,柳林,2021-05-24 06:00,0
192,柳林,2021-05-24 07:00,.2
192,柳林,2021-05-24 08:00,.4
192,柳林,2021-05-25 09:00,0
192,柳林,2021-05-27 00:00,0
192,柳林,2021-05-27 01:00,.1
192,柳林,2021-05-27 02:00,.6
192,柳林,2021-05-27 03:00,.3
192,柳林,2021-05-27 04:00,.1
192,柳林,2021-05-28 16:00,0
192,柳林,2021-05-28 17:00,0
192,柳林,2021-05-31 07:00,0
192,柳林,2021-05-31 08:00,.6
192,柳林,2021-06-03 08:00,1.7
192,柳林,2021-06-03 09:00,3.5
192,柳林,2021-06-03 10:00,3.2
192,柳林,2021-06-03 11:00,2.7
192,柳林,2021-06-03 12:00,.8
192,柳林,2021-06-03 13:00,2.5
192,柳林,2021-06-03 14:00,1.8
192,柳林,2021-06-03 15:00,.6
192,柳林,2021-06-03 16:00,.6
192,柳林,2021-06-03 17:00,.5
192,柳林,2021-06-03 18:00,.4
192,柳林,2021-06-03 19:00,.5
192,柳林,2021-06-03 21:00,0
192,柳林,2021-06-03 22:00,.4
192,柳林,2021-06-03 23:00,.9
192,柳林,2021-06-04 00:00,.9
192,柳林,2021-06-04 01:00,.2
192,柳林,2021-06-04 02:00,.2
192,柳林,2021-06-04 03:00,.7
192,柳林,2021-06-04 04:00,.1
192,柳林,2021-06-04 05:00,.4
192,柳林,2021-06-10 19:00,0
192,柳林,2021-06-10 20:00,0
192,柳林,2021-06-10 21:00,0
192,柳林,2021-06-10 22:00,0
192,柳林,2021-06-10 23:00,0
192,柳林,2021-06-11 00:00,0
192,柳林,2021-06-11 01:00,.3
192,柳林,2021-06-11 02:00,.2
192,柳林,2021-06-11 03:00,.5
192,柳林,2021-06-11 04:00,2.8
192,柳林,2021-06-11 05:00,15.4
192,柳林,2021-06-11 06:00,8.4
192,柳林,2021-06-11 07:00,0
192,柳林,2021-06-11 08:00,.1
192,柳林,2021-06-11 09:00,2.1
192,柳林,2021-06-11 10:00,.2
192,柳林,2021-06-11 11:00,.6
192,柳林,2021-06-11 12:00,.4
192,柳林,2021-06-11 13:00,.3
192,柳林,2021-06-11 16:00,0
192,柳林,2021-06-11 17:00,1.6
192,柳林,2021-06-11 18:00,.2
192,柳林,2021-06-15 10:00,0
192,柳林,2021-06-15 12:00,0
192,柳林,2021-06-15 13:00,.8
192,柳林,2021-06-15 14:00,1.4
192,柳林,2021-06-15 15:00,1.7
192,柳林,2021-06-15 16:00,2
192,柳林,2021-06-15 17:00,6.1
192,柳林,2021-06-15 18:00,4.4
192,柳林,2021-06-15 19:00,2.7
192,柳林,2021-06-15 20:00,.6
192,柳林,2021-06-15 21:00,1
192,柳林,2021-06-15 22:00,.6
192,柳林,2021-06-15 23:00,2.8
192,柳林,2021-06-16 00:00,3.4
192,柳林,2021-06-16 01:00,.4
192,柳林,2021-06-16 02:00,1.3
192,柳林,2021-06-16 03:00,.5
192,柳林,2021-06-16 04:00,.2
192,柳林,2021-06-17 20:00,.2
192,柳林,2021-06-17 21:00,.7
192,柳林,2021-06-17 22:00,1.3
192,柳林,2021-06-17 23:00,.1
192,柳林,2021-06-18 01:00,0
192,柳林,2021-06-18 03:00,0
192,柳林,2021-06-18 04:00,.7
192,柳林,2021-06-18 05:00,2.4
192,柳林,2021-06-18 06:00,1.7
192,柳林,2021-06-18 07:00,.1
192,柳林,2021-06-18 18:00,0
192,柳林,2021-06-22 16:00,5.9
192,柳林,2021-06-22 20:00,.5
192,柳林,2021-06-22 21:00,.2
192,柳林,2021-06-22 22:00,1
192,柳林,2021-06-22 23:00,.1
192,柳林,2021-06-23 00:00,.3
192,柳林,2021-06-23 01:00,.1
192,柳林,2021-06-23 18:00,0
192,柳林,2021-06-23 19:00,0
192,柳林,2021-06-23 20:00,0
192,柳林,2021-06-23 21:00,0
192,柳林,2021-06-26 06:00,0
192,柳林,2021-06-26 07:00,.3
192,柳林,2021-06-26 08:00,.4
192,柳林,2021-06-28 17:00,0
192,柳林,2021-06-29 01:00,.1
192,柳林,2021-07-03 11:00,.6
192,柳林,2021-07-03 12:00,.3
192,柳林,2021-07-03 13:00,4.1
192,柳林,2021-07-03 14:00,9.2
192,柳林,2021-07-03 15:00,8.8
192,柳林,2021-07-03 16:00,10.6
192,柳林,2021-07-03 17:00,4.4
192,柳林,2021-07-03 18:00,4.5
192,柳林,2021-07-03 19:00,.1
192,柳林,2021-07-03 20:00,1.6
192,柳林,2021-07-03 21:00,2.4
192,柳林,2021-07-03 22:00,2.4
192,柳林,2021-07-03 23:00,5.3
192,柳林,2021-07-04 00:00,4.4
192,柳林,2021-07-04 01:00,1
192,柳林,2021-07-04 02:00,9.3
192,柳林,2021-07-04 03:00,7.7
192,柳林,2021-07-04 04:00,1.7
192,柳林,2021-07-04 05:00,.3
192,柳林,2021-07-04 19:00,0
192,柳林,2021-07-04 20:00,.2
192,柳林,2021-07-05 03:00,.4
192,柳林,2021-07-05 04:00,.5
192,柳林,2021-07-05 05:00,.5
