날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,192,-0.1,-6.7,8.7
2016-01-02,192,1.8,-3.6,10.8
2016-01-03,192,4,-2.2,14.5
2016-01-04,192,4.8,-0.3,15
2016-01-05,192,0.5,-2.6,4.9
2016-01-06,192,1.8,-5.1,8.8
2016-01-07,192,1,-3.6,7.5
2016-01-08,192,0,-4.9,7
2016-01-09,192,-0.3,-6.9,8
2016-01-10,192,0,-6.6,9.1
2016-01-11,192,1.2,-4.5,8.6
2016-01-12,192,-0.1,-6.9,7.2
2016-01-13,192,-1.7,-7.7,5.3
2016-01-14,192,-1.1,-5.9,6.4
2016-01-15,192,-0.8,-7.6,8.6
2016-01-16,192,1.1,-3.9,8.6
2016-01-17,192,2.8,-1.9,7.6
2016-01-18,192,0.7,-4,5
2016-01-19,192,-3,-5.8,-0.2
2016-01-20,192,-3.8,-8.2,1.6
2016-01-21,192,-2.1,-6.6,2.9
2016-01-22,192,-0.9,-7.9,5.6
2016-01-23,192,-3.8,-8.9,-0.2
2016-01-24,192,-8.3,-10.2,-5.4
2016-01-25,192,-5.3,-12.8,2.7
2016-01-26,192,-3.2,-10.9,5.7
2016-01-27,192,-1.1,-8.1,8.4
2016-01-28,192,0.9,-4.6,4
2016-01-29,192,3.1,1.7,3.8
2016-01-30,192,3.7,-1.6,7.5
2016-01-31,192,1.4,-3.4,6.7
2016-02-01,192,-0.6,-4.1,5
2016-02-02,192,-2.3,-9.1,6.2
2016-02-03,192,-1.7,-9.3,7.7
2016-02-04,192,-0.2,-7.7,7.7
2016-02-05,192,1.3,-6.5,9.6
2016-02-06,192,-0.3,-6.7,5.9
2016-02-07,192,-1.6,-8.8,7.1
2016-02-08,192,1.9,-8.6,8.5
2016-02-09,192,4.9,-2,9.3
2016-02-10,192,1.7,-6.2,12
2016-02-11,192,6.1,-3,14.4
2016-02-12,192,9.2,5.8,14.4
2016-02-13,192,12,9.3,15.3
2016-02-14,192,4.1,-1.8,14.6
2016-02-15,192,-1.5,-4.4,2.3
2016-02-16,192,0.2,-6.3,5.4
2016-02-17,192,1.7,-3.4,8.1
2016-02-18,192,2.3,-6.1,10.3
2016-02-19,192,5,-2.7,13.7
2016-02-20,192,6,1.8,12.7
2016-02-21,192,2.1,-3.6,8.2
2016-02-22,192,3.4,-2,7
2016-02-23,192,5.5,-0.1,11.9
2016-02-24,192,1.4,-4,7.1
2016-02-25,192,0.8,-4.2,7.6
2016-02-26,192,1.8,-5.9,8.3
2016-02-27,192,7.9,0.8,14.2
2016-02-28,192,6.1,-0.7,13.6
2016-02-29,192,-0.2,-4.6,3.5
2016-03-01,192,-0.8,-7.7,6.8
2016-03-02,192,3.8,-6.8,11.8
2016-03-03,192,6.7,-3.4,16
2016-03-04,192,8.2,6.6,9.7
2016-03-05,192,12.1,8.5,15.7
2016-03-06,192,13.7,8.3,19.5
2016-03-07,192,11,6.8,17.7
2016-03-08,192,8,3.4,11.3
2016-03-09,192,5.2,1.2,12.6
2016-03-10,192,3,-1.3,8.5
2016-03-11,192,2,-3.3,8.4
2016-03-12,192,2.7,-5.4,10.1
2016-03-13,192,4.7,1,8.8
2016-03-14,192,5.5,-1.7,13.9
2016-03-15,192,5.9,-3.3,14.5
2016-03-16,192,8.4,2.8,16.7
2016-03-17,192,9.3,-1.1,18.7
2016-03-18,192,9.8,7.9,12.1
2016-03-19,192,11.5,6.1,18.9
2016-03-20,192,9.5,6.4,13.6
2016-03-21,192,9.3,3.5,16.6
2016-03-22,192,9.6,2.6,18.4
2016-03-23,192,10.5,3.3,17.2
2016-03-24,192,8.3,5.6,12.6
2016-03-25,192,6.8,4.1,11.5
2016-03-26,192,6.6,0.1,13.4
2016-03-27,192,7.4,-0.4,15.4
2016-03-28,192,8.4,-1.5,17.5
2016-03-29,192,10.7,1.5,15.9
2016-03-30,192,13.8,6.8,21.6
2016-03-31,192,12,4.6,20.9
2016-04-01,192,13.6,4.1,24.3
2016-04-02,192,13.1,5.1,20.1
2016-04-03,192,12.2,10.8,13.5
2016-04-04,192,11.2,9.8,13.8
2016-04-05,192,12.4,7.2,20.2
2016-04-06,192,11.8,5.2,20.5
2016-04-07,192,12.2,8.6,17.6
2016-04-08,192,15,9.1,23
2016-04-09,192,15,6.4,24
2016-04-10,192,14.4,7.1,22.9
2016-04-11,192,10.8,9.2,12.6
2016-04-12,192,11.5,4.3,18.6
2016-04-13,192,13.6,10.6,15.4
2016-04-14,192,17.1,11.3,25.8
2016-04-15,192,12.9,5.3,21.2
2016-04-16,192,13.2,5.4,18.8
2016-04-17,192,15.5,10.5,19.8
2016-04-18,192,14.4,8.6,20.7
2016-04-19,192,13.5,6.2,21
2016-04-20,192,13.5,5.5,21
2016-04-21,192,13.8,11.1,17.3
2016-04-22,192,17,12.5,24.5
2016-04-23,192,15.4,11.9,20.7
2016-04-24,192,14.6,6.9,23.8
2016-04-25,192,15.4,6.9,26.3
2016-04-26,192,16.3,5.7,25.6
2016-04-27,192,11.4,10.7,14.7
2016-04-28,192,14.1,10.5,19.5
2016-04-29,192,15,11.5,20.6
2016-04-30,192,16.6,9,23.1
2016-05-01,192,16.5,8,23.9
2016-05-02,192,17.8,10.2,23.5
2016-05-03,192,16.6,14.2,20.8
2016-05-04,192,17.8,10.5,24.9
2016-05-05,192,16,6.1,24.2
2016-05-06,192,17.6,14.9,21
2016-05-07,192,18.3,10,25.2
2016-05-08,192,16.7,7.9,23.4
2016-05-09,192,17.6,13.8,22
2016-05-10,192,14.4,12.2,17.3
2016-05-11,192,15.8,12.2,21.7
2016-05-12,192,17.6,11.2,24.1
2016-05-13,192,16.2,10.9,23.3
2016-05-14,192,16.8,9.8,24.5
2016-05-15,192,17.9,10.6,22.9
2016-05-16,192,15.1,8,22.6
2016-05-17,192,16.4,4.7,27.8
2016-05-18,192,19.3,8.3,31
2016-05-19,192,19,10.2,29.2
2016-05-20,192,19.3,10,28.7
2016-05-21,192,19,10.7,28
2016-05-22,192,19.5,10.2,29.1
2016-05-23,192,19.8,10,27.6
2016-05-24,192,18.7,15.4,20.4
2016-05-25,192,19.3,12.6,27
2016-05-26,192,20.6,12.8,27.7
2016-05-27,192,22.5,17.8,29.2
2016-05-28,192,20.6,16.1,27
2016-05-29,192,19.9,15.3,26
2016-05-30,192,21.5,12.7,31.1
2016-05-31,192,21.2,12.5,29.8
2016-06-01,192,20.4,15.1,26.3
2016-06-02,192,18.9,10.9,27.3
2016-06-03,192,20.7,12.1,28.3
2016-06-04,192,17.4,15.4,22.2
2016-06-05,192,21.3,15.1,27.3
2016-06-06,192,18.3,17.4,19.7
2016-06-07,192,21.1,17.4,26.7
2016-06-08,192,21.2,17.9,24.6
2016-06-09,192,21.7,18.1,28.2
2016-06-10,192,22.5,17.8,28.6
2016-06-11,192,22.7,18,28.2
2016-06-12,192,22.6,20,25.1
2016-06-13,192,23.2,20.5,28.5
2016-06-14,192,23,20.1,28
2016-06-15,192,21.9,18.5,24.2
2016-06-16,192,23.8,17.2,28.7
2016-06-17,192,22.4,14.5,30.6
2016-06-18,192,22.4,16.9,28.6
2016-06-19,192,24.8,20.7,30.8
2016-06-20,192,22.8,20.9,26.4
2016-06-21,192,22.6,21.2,25.4
2016-06-22,192,21.5,20.6,22.7
2016-06-23,192,23.7,20.4,29.6
2016-06-24,192,22.5,19.8,28
2016-06-25,192,23.1,18.1,28.1
2016-06-26,192,23.4,16.2,30.1
2016-06-27,192,20.4,16.8,24.6
2016-06-28,192,21.3,17.7,25.7
2016-06-29,192,21.6,18.4,25
2016-06-30,192,23.5,19.4,29
2016-07-01,192,23.9,22.2,25.5
2016-07-02,192,23.7,22,26.2
2016-07-03,192,21.4,20.1,23.7
2016-07-04,192,23.8,20.3,27.9
2016-07-05,192,26.5,24.5,29.7
2016-07-06,192,26.4,23.8,30.3
2016-07-07,192,25.9,22.4,31.1
2016-07-08,192,25.5,22,30.9
2016-07-09,192,25.6,20.7,32.8
2016-07-10,192,26.2,21.7,31.3
2016-07-11,192,24.4,22.9,27.7
2016-07-12,192,24.2,22.6,26.9
2016-07-13,192,25.8,22.1,30.2
2016-07-14,192,26.7,21.7,33
2016-07-15,192,25,22.1,30.2
2016-07-16,192,22.1,20.5,23.8
