일자,중식계,석식계
2021-01-27,1064.49,394.79
2021-01-28,982.79,384.35
2021-01-29,612.17,265.97
2021-02-01,1168.84,448.73
2021-02-02,992.39,413.49
2021-02-03,997.25,430.58
2021-02-04,948.72,456.19
2021-02-05,605.8,320.5
2021-02-08,1174.5,629.7
2021-02-09,998.34,462.78
2021-02-10,973.65,369.61
2021-02-15,1274.0,660.52
2021-02-16,1149.69,627.06
2021-02-17,1067.82,400.58
2021-02-18,865.34,497.33
2021-02-19,637.58,331.79
2021-02-22,1218.79,614.3
2021-02-23,997.07,605.75
2021-02-24,745.93,348.61
2021-02-25,833.42,486.98
2021-02-26,535.01,293.66
2021-03-02,987.99,611.34
2021-03-03,976.92,419.42
2021-03-04,938.94,470.08
2021-03-05,572.56,268.93
2021-03-08,1281.14,692.89
2021-03-09,1216.27,691.46
2021-03-10,1024.34,391.02
2021-03-11,946.22,478.03
2021-03-12,590.91,288.32
2021-03-15,1269.51,674.42
2021-03-16,1006.96,569.55
2021-03-17,1063.57,340.81
2021-03-18,870.57,421.46
2021-03-19,596.82,282.66
2021-03-22,1207.6,596.25
2021-03-23,978.67,551.83
2021-03-24,910.36,372.84
2021-03-25,826.28,396.71
2021-03-26,600.31,328.52
2021-03-29,1199.74,587.88
2021-03-30,984.66,525.2
2021-03-31,882.01,371.6
2021-04-01,762.93,385.04
2021-04-02,611.2,299.63
2021-04-05,1194.49,581.83
2021-04-06,1012.78,557.42
2021-04-07,891.36,337.46
2021-04-08,861.89,421.76
2021-04-09,613.92,325.84
