瘤痢,瘤痢疙,老矫,碍荐樊(mm)
192,柳林,2020-01-06 06:00,0
192,柳林,2020-01-06 09:00,.4
192,柳林,2020-01-06 12:00,.3
192,柳林,2020-01-06 15:00,2.2
192,柳林,2020-01-06 18:00,2.9
192,柳林,2020-01-06 21:00,1.8
192,柳林,2020-01-07 00:00,6.2
192,柳林,2020-01-07 03:00,8.9
192,柳林,2020-01-07 06:00,3.4
192,柳林,2020-01-07 09:00,1.4
192,柳林,2020-01-07 12:00,2.8
192,柳林,2020-01-07 15:00,0
192,柳林,2020-01-07 18:00,1.9
192,柳林,2020-01-07 21:00,19.9
192,柳林,2020-01-08 00:00,2
192,柳林,2020-01-22 09:00,0
192,柳林,2020-01-22 12:00,0
192,柳林,2020-01-22 15:00,1.4
192,柳林,2020-01-22 18:00,3.7
192,柳林,2020-01-22 21:00,7.9
192,柳林,2020-01-23 00:00,7.1
192,柳林,2020-01-23 03:00,2.2
192,柳林,2020-01-23 06:00,4.6
192,柳林,2020-01-23 09:00,1.1
192,柳林,2020-01-27 03:00,1
192,柳林,2020-01-27 06:00,3
192,柳林,2020-01-27 09:00,3.1
192,柳林,2020-01-27 12:00,4.1
192,柳林,2020-01-27 15:00,6.5
192,柳林,2020-01-27 18:00,3.8
192,柳林,2020-01-27 21:00,1.2
192,柳林,2020-01-28 00:00,.1
192,柳林,2020-01-29 00:00,.3
192,柳林,2020-01-29 18:00,0
192,柳林,2020-01-29 21:00,.4
192,柳林,2020-01-30 00:00,.1
192,柳林,2020-02-12 03:00,.6
192,柳林,2020-02-12 06:00,3.8
192,柳林,2020-02-12 09:00,5.9
192,柳林,2020-02-12 12:00,8.2
192,柳林,2020-02-12 15:00,1.9
192,柳林,2020-02-12 18:00,.4
192,柳林,2020-02-16 00:00,.5
192,柳林,2020-02-16 03:00,.9
192,柳林,2020-02-16 06:00,3.1
192,柳林,2020-02-21 21:00,.1
192,柳林,2020-02-22 00:00,1.2
192,柳林,2020-02-22 03:00,.5
192,柳林,2020-02-22 06:00,0
192,柳林,2020-02-25 00:00,.6
192,柳林,2020-02-25 03:00,0
192,柳林,2020-02-25 06:00,6.3
192,柳林,2020-02-25 09:00,4
192,柳林,2020-02-25 12:00,4.6
192,柳林,2020-02-25 15:00,1.3
192,柳林,2020-02-25 18:00,.3
192,柳林,2020-02-25 21:00,.6
192,柳林,2020-02-28 15:00,.7
192,柳林,2020-02-28 18:00,.6
192,柳林,2020-02-28 21:00,0
192,柳林,2020-03-02 00:00,0
192,柳林,2020-03-04 03:00,0
192,柳林,2020-03-07 09:00,.7
192,柳林,2020-03-07 12:00,2.2
192,柳林,2020-03-07 15:00,.1
192,柳林,2020-03-07 18:00,0
192,柳林,2020-03-07 21:00,.9
192,柳林,2020-03-09 21:00,1.8
192,柳林,2020-03-10 00:00,5.6
192,柳林,2020-03-10 03:00,2.2
192,柳林,2020-03-10 06:00,3.5
192,柳林,2020-03-10 09:00,1.8
192,柳林,2020-03-10 12:00,2.1
192,柳林,2020-03-10 15:00,.7
192,柳林,2020-03-15 15:00,0
192,柳林,2020-03-26 09:00,.6
192,柳林,2020-03-26 12:00,2.1
192,柳林,2020-03-26 15:00,3.5
192,柳林,2020-03-26 18:00,2.3
192,柳林,2020-03-26 21:00,2.9
192,柳林,2020-03-27 00:00,7.2
192,柳林,2020-03-27 03:00,.7
192,柳林,2020-03-27 06:00,0
192,柳林,2020-03-27 09:00,.2
192,柳林,2020-04-01 03:00,.1
192,柳林,2020-04-01 04:00,.2
192,柳林,2020-04-01 05:00,0
192,柳林,2020-04-01 06:00,0
192,柳林,2020-04-01 07:00,.1
192,柳林,2020-04-01 08:00,0
192,柳林,2020-04-10 05:00,0
192,柳林,2020-04-10 07:00,0
192,柳林,2020-04-10 08:00,0
192,柳林,2020-04-11 07:00,0
192,柳林,2020-04-11 14:00,0
192,柳林,2020-04-11 15:00,.2
192,柳林,2020-04-11 16:00,.2
192,柳林,2020-04-11 17:00,.2
192,柳林,2020-04-11 18:00,.1
192,柳林,2020-04-11 19:00,.3
192,柳林,2020-04-11 20:00,1
192,柳林,2020-04-11 21:00,1.1
192,柳林,2020-04-11 22:00,.5
192,柳林,2020-04-11 23:00,.3
192,柳林,2020-04-12 00:00,.3
192,柳林,2020-04-12 01:00,.6
192,柳林,2020-04-12 02:00,.7
192,柳林,2020-04-12 03:00,.4
192,柳林,2020-04-12 04:00,.3
192,柳林,2020-04-12 05:00,.4
192,柳林,2020-04-12 06:00,.3
192,柳林,2020-04-12 07:00,0
192,柳林,2020-04-12 11:00,.2
192,柳林,2020-04-12 12:00,.6
192,柳林,2020-04-12 13:00,.7
192,柳林,2020-04-12 14:00,.1
192,柳林,2020-04-12 15:00,0
192,柳林,2020-04-12 16:00,.1
192,柳林,2020-04-17 07:00,.3
192,柳林,2020-04-17 08:00,2.9
192,柳林,2020-04-17 09:00,3.2
192,柳林,2020-04-17 10:00,3.9
192,柳林,2020-04-17 11:00,2.7
192,柳林,2020-04-17 12:00,4.4
192,柳林,2020-04-17 13:00,5.9
192,柳林,2020-04-17 14:00,4
192,柳林,2020-04-17 15:00,1
192,柳林,2020-04-17 16:00,.2
192,柳林,2020-04-17 17:00,.2
192,柳林,2020-04-17 18:00,.1
192,柳林,2020-04-17 19:00,.1
192,柳林,2020-04-19 12:00,.2
192,柳林,2020-04-19 13:00,1
192,柳林,2020-04-19 14:00,1.1
192,柳林,2020-04-19 15:00,2.6
192,柳林,2020-04-19 16:00,4.3
192,柳林,2020-04-19 17:00,5.8
192,柳林,2020-04-19 18:00,4.2
192,柳林,2020-04-19 19:00,3
192,柳林,2020-04-19 20:00,2.6
192,柳林,2020-04-19 21:00,4.6
192,柳林,2020-04-19 22:00,.5
192,柳林,2020-04-20 00:00,.1
192,柳林,2020-05-02 17:00,0
192,柳林,2020-05-02 22:00,0
192,柳林,2020-05-02 23:00,.2
192,柳林,2020-05-03 00:00,1.1
192,柳林,2020-05-03 01:00,.7
192,柳林,2020-05-03 02:00,1.3
192,柳林,2020-05-03 03:00,.5
192,柳林,2020-05-03 04:00,.6
192,柳林,2020-05-03 05:00,.8
192,柳林,2020-05-03 06:00,1
192,柳林,2020-05-03 07:00,.1
192,柳林,2020-05-03 08:00,1.1
192,柳林,2020-05-03 09:00,3.7
192,柳林,2020-05-03 10:00,5.8
192,柳林,2020-05-03 11:00,11
192,柳林,2020-05-03 12:00,2.2
192,柳林,2020-05-03 13:00,.6
192,柳林,2020-05-03 16:00,0
192,柳林,2020-05-03 19:00,.1
192,柳林,2020-05-08 21:00,0
192,柳林,2020-05-08 22:00,0
192,柳林,2020-05-08 23:00,0
192,柳林,2020-05-09 00:00,0
192,柳林,2020-05-09 01:00,.1
192,柳林,2020-05-09 02:00,1.6
192,柳林,2020-05-09 03:00,4.9
192,柳林,2020-05-09 04:00,1.9
192,柳林,2020-05-09 05:00,3.4
192,柳林,2020-05-09 06:00,4.4
192,柳林,2020-05-09 07:00,3.3
192,柳林,2020-05-09 08:00,5.4
192,柳林,2020-05-09 09:00,3.1
192,柳林,2020-05-09 10:00,2.7
192,柳林,2020-05-09 11:00,3.3
192,柳林,2020-05-09 12:00,4.2
192,柳林,2020-05-09 13:00,3.1
192,柳林,2020-05-09 14:00,2.3
192,柳林,2020-05-09 15:00,.8
192,柳林,2020-05-09 16:00,1.2
192,柳林,2020-05-09 17:00,.2
192,柳林,2020-05-15 01:00,0
192,柳林,2020-05-15 02:00,0
192,柳林,2020-05-15 06:00,0
192,柳林,2020-05-15 07:00,1.1
192,柳林,2020-05-15 08:00,3.4
192,柳林,2020-05-15 09:00,2.1
192,柳林,2020-05-15 10:00,2.7
192,柳林,2020-05-15 11:00,1.9
192,柳林,2020-05-15 12:00,2.1
192,柳林,2020-05-15 13:00,1.2
192,柳林,2020-05-15 14:00,.8
192,柳林,2020-05-15 15:00,.9
192,柳林,2020-05-15 16:00,.3
192,柳林,2020-05-15 17:00,.2
192,柳林,2020-05-15 18:00,.3
192,柳林,2020-05-15 19:00,.4
192,柳林,2020-05-15 20:00,.2
192,柳林,2020-05-15 21:00,.1
192,柳林,2020-05-15 22:00,.1
192,柳林,2020-05-16 02:00,.2
192,柳林,2020-05-16 03:00,.3
192,柳林,2020-05-16 04:00,.2
192,柳林,2020-05-16 05:00,.1
192,柳林,2020-05-18 17:00,0
192,柳林,2020-05-18 18:00,0
192,柳林,2020-05-18 19:00,.6
192,柳林,2020-05-18 21:00,.7
192,柳林,2020-05-18 22:00,9
192,柳林,2020-05-18 23:00,2.6
192,柳林,2020-05-19 00:00,.7
192,柳林,2020-05-19 13:00,0
192,柳林,2020-05-19 14:00,0
192,柳林,2020-05-31 03:00,0
192,柳林,2020-05-31 04:00,.2
192,柳林,2020-05-31 05:00,.6
192,柳林,2020-05-31 06:00,.3
192,柳林,2020-05-31 07:00,.1
