지점,지점명,일시,강수량(mm)
192,진주,2021-01-18 09:00,0
192,진주,2021-01-18 12:00,0
192,진주,2021-01-18 15:00,.2
192,진주,2021-01-21 18:00,0
192,진주,2021-01-21 21:00,.6
192,진주,2021-01-22 00:00,1.1
192,진주,2021-01-22 03:00,.2
192,진주,2021-01-22 06:00,1
192,진주,2021-01-22 09:00,0
192,진주,2021-01-22 15:00,0
192,진주,2021-01-22 21:00,0
192,진주,2021-01-23 09:00,0
192,진주,2021-01-23 12:00,.3
192,진주,2021-01-23 18:00,0
192,진주,2021-01-23 21:00,.1
192,진주,2021-01-24 00:00,1
192,진주,2021-01-24 03:00,0
192,진주,2021-01-26 06:00,.1
192,진주,2021-01-26 09:00,2.7
192,진주,2021-01-26 12:00,4.2
192,진주,2021-01-26 15:00,2.7
192,진주,2021-01-26 18:00,.6
192,진주,2021-02-01 00:00,1
192,진주,2021-02-01 03:00,8.2
192,진주,2021-02-01 06:00,6.3
192,진주,2021-02-01 09:00,1.5
