iter	Passed	Remaining
0	2	1974
1	5	1984
2	9	2254
3	13	2391
4	16	2291
5	18	2187
6	21	2129
7	24	2093
8	27	2130
9	30	2092
10	33	2121
11	36	2064
12	38	2012
13	40	1967
14	43	2001
15	47	2040
16	49	1999
17	51	1958
18	53	1921
19	57	1938
20	59	1911
21	61	1887
22	63	1860
23	65	1838
24	69	1886
25	73	1907
26	77	1927
27	80	1930
28	82	1919
29	85	1905
30	86	1877
31	89	1869
32	91	1851
33	93	1829
34	95	1806
35	96	1785
36	99	1779
37	101	1764
38	103	1762
39	106	1757
40	108	1743
41	110	1730
42	114	1746
43	118	1770
44	122	1783
45	124	1776
46	128	1786
47	132	1801
48	135	1806
49	137	1792
50	140	1781
51	143	1785
52	145	1780
53	148	1772
54	151	1775
55	154	1773
56	156	1770
57	160	1778
58	163	1771
59	165	1769
60	168	1763
61	179	1847
62	186	1882
63	190	1896
64	194	1900
65	199	1918
66	225	2132
67	230	2143
68	238	2177
69	243	2192
70	251	2228
71	255	2225
72	257	2212
73	259	2198
74	262	2188
75	264	2173
76	266	2160
77	269	2149
78	271	2136
79	277	2147
80	280	2147
81	283	2136
82	285	2121
83	287	2108
84	290	2100
85	292	2089
86	295	2078
87	297	2066
88	299	2054
89	300	2039
90	302	2026
91	305	2018
92	307	2008
93	309	1998
94	311	1984
95	313	1970
96	315	1958
97	317	1952
98	319	1942
99	321	1929
100	323	1918
101	325	1907
102	326	1895
103	328	1883
104	330	1872
105	333	1866
106	334	1856
107	337	1848
108	338	1837
109	340	1825
110	342	1815
111	343	1805
112	346	1797
113	347	1788
114	349	1778
115	351	1768
116	353	1760
117	355	1751
118	356	1742
119	358	1733
120	360	1725
121	362	1717
122	364	1709
123	366	1702
124	368	1695
125	370	1687
126	372	1680
127	376	1680
128	378	1674
129	380	1666
130	381	1658
131	383	1650
132	385	1643
133	387	1635
134	389	1629
135	391	1623
136	393	1615
137	394	1608
138	396	1600
139	398	1593
140	400	1586
141	402	1582
142	404	1576
143	407	1571
144	409	1565
145	410	1558
146	412	1551
147	414	1544
148	415	1538
149	419	1538
150	422	1534
151	424	1531
152	426	1526
153	429	1521
154	432	1520
155	434	1515
156	436	1509
157	438	1504
158	440	1498
159	442	1493
160	444	1488
161	447	1486
162	449	1481
163	452	1477
164	454	1475
165	457	1471
166	461	1473
167	465	1475
168	469	1476
169	474	1479
170	478	1480
171	482	1479
172	485	1480
173	490	1481
174	497	1491
175	501	1491
176	505	1492
177	508	1491
178	512	1491
179	516	1492
180	519	1490
181	522	1486
182	524	1483
183	527	1478
184	528	1472
185	530	1466
186	532	1461
187	535	1458
188	537	1452
189	539	1448
190	541	1442
191	543	1437
192	545	1432
193	548	1429
194	550	1426
195	553	1423
196	556	1419
197	558	1416
198	561	1412
199	564	1410
200	566	1405
201	568	1401
202	570	1397
203	572	1392
204	574	1387
205	577	1384
206	579	1379
207	580	1373
208	582	1368
209	584	1363
210	586	1358
211	588	1353
212	590	1349
213	592	1345
214	593	1339
215	595	1334
216	597	1329
217	599	1324
218	600	1319
219	602	1315
220	604	1310
221	606	1305
222	608	1301
223	610	1296
224	611	1291
225	613	1286
226	615	1282
227	616	1277
228	618	1272
229	621	1269
230	623	1265
231	625	1261
232	627	1257
233	629	1253
234	631	1250
235	636	1250
236	638	1247
237	641	1244
238	643	1242
239	646	1239
240	649	1237
241	652	1235
242	655	1232
243	657	1229
244	660	1226
245	665	1227
246	667	1223
247	669	1219
248	671	1216
249	673	1212
250	675	1209
251	679	1207
252	681	1204
253	683	1200
254	686	1197
255	688	1193
256	692	1193
257	694	1190
258	696	1186
259	698	1182
260	701	1179
261	703	1176
262	708	1177
263	712	1177
264	715	1174
265	719	1174
266	723	1173
267	727	1172
268	730	1170
269	733	1167
270	739	1170
271	745	1173
272	750	1173
273	755	1174
274	760	1175
275	764	1174
276	771	1178
277	775	1177
278	779	1176
279	783	1174
280	787	1174
281	791	1173
282	794	1171
283	797	1167
284	799	1164
285	802	1161
286	804	1158
287	808	1156
288	811	1154
289	813	1150
290	816	1147
291	818	1144
292	822	1142
293	825	1139
294	827	1136
295	830	1132
296	832	1129
297	834	1125
298	836	1121
299	838	1118
300	840	1114
301	842	1110
302	844	1106
303	846	1103
304	849	1099
305	853	1099
306	857	1097
307	861	1096
308	864	1093
309	866	1090
310	870	1088
311	873	1086
312	876	1083
313	882	1085
314	885	1081
315	887	1078
316	890	1076
317	892	1072
318	898	1073
319	901	1070
320	904	1067
321	906	1064
322	910	1063
323	916	1063
324	927	1070
325	933	1070
326	936	1068
327	939	1065
328	942	1062
329	944	1059
330	947	1055
331	949	1052
332	951	1049
333	953	1045
334	956	1042
335	958	1037
336	959	1033
337	961	1029
338	963	1025
339	965	1021
340	966	1017
341	968	1013
342	970	1010
343	972	1006
344	974	1002
345	976	998
346	979	996
347	981	993
348	983	989
349	985	985
350	987	981
351	988	977
352	991	974
353	993	970
354	995	966
355	998	964
356	1000	961
357	1002	957
358	1004	954
359	1008	952
360	1010	949
361	1013	946
362	1016	943
363	1021	942
364	1027	943
365	1029	939
366	1032	937
367	1037	936
368	1042	934
369	1046	932
370	1050	931
371	1055	930
372	1059	929
373	1065	929
374	1070	927
375	1075	927
376	1091	934
377	1120	954
378	1136	962
379	1142	961
380	1148	961
381	1153	960
382	1159	959
383	1164	957
384	1167	954
385	1170	952
386	1173	949
387	1176	946
388	1179	943
389	1183	941
390	1188	938
391	1192	936
392	1194	933
393	1200	932
394	1204	929
395	1207	926
396	1210	923
397	1212	920
398	1215	917
399	1217	913
400	1219	909
401	1221	905
402	1223	901
403	1225	897
404	1227	894
405	1229	890
406	1231	886
407	1232	882
408	1234	878
409	1236	874
410	1238	870
411	1239	866
412	1242	863
413	1244	859
414	1246	856
415	1249	852
416	1250	848
417	1252	845
418	1254	841
419	1256	837
420	1258	834
421	1260	830
422	1261	826
423	1263	822
424	1265	818
425	1267	815
426	1269	811
427	1271	808
428	1273	804
429	1275	801
430	1277	797
431	1279	793
432	1281	790
433	1283	786
434	1285	782
435	1287	779
436	1288	775
437	1290	771
438	1292	768
439	1294	764
440	1295	760
441	1297	757
442	1299	753
443	1302	750
444	1304	747
445	1306	743
446	1308	740
447	1310	737
448	1312	733
449	1316	731
450	1319	728
451	1321	725
452	1323	721
453	1325	718
454	1329	715
455	1332	712
456	1334	709
457	1336	706
458	1338	702
459	1340	699
460	1342	695
461	1347	693
462	1350	691
463	1353	688
464	1356	685
465	1359	682
466	1362	679
467	1364	676
468	1366	673
469	1368	669
470	1371	666
471	1375	664
472	1377	661
473	1380	657
474	1382	654
475	1384	651
476	1388	649
477	1391	646
478	1393	642
479	1395	639
480	1398	636
