석식메뉴,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
"['두부조림', '쌀밥', '건파래무침', '포기김치', '육개장', '잡곡밥', '자반고등어구이']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
"['유산슬', '바나나', '어묵국', '포기김치', '아삭고추무침', '양념장', '콩나물밥']",0,1,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
"['고기전', '청국장찌개', '새송이버섯볶음', '쌀밥', '황태양념구이', '포기김치', '잡곡밥']",0,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"['무피클', '우동', '군고구마', '겨자장', '미니김밥', '포기김치', '멕시칸샐러드']",1,1,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['감자소세지볶음', '쌀밥', '차돌박이찌개', '닭갈비', '포기김치', '콩나물무침', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"['맑은국', '포기김치', '과일샐러드', '락교', '군만두', '참치회덮밥']",1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['김치콩나물국', '어묵볶음', '깍두기', '쌀밥', '물파래무침', '미니함박', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['브로컬리초장', '홍합미역국', '쌀밥', '임연수구이', '포기김치', '등갈비김치찜', '잡곡밥']",0,1,0,1,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
"['쌀밥', '쇠불고기', '봄동무침', '포기김치', '된장찌개', '잡곡밥', '해파리겨자채']",0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['쨔샤이무침', '맑은국', '자장소스', '볶음밥', '요플레', '포기김치', '새우또띠아']",0,2,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
