중식메뉴,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
"['요구르트', '쌀밥', '쇠불고기', '계란찜', '포기김치', '청포묵무침', '잡곡밥', '오징어찌개']",0,0,0,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['가자미튀김', '모둠소세지구이', '마늘쫑무침', '요구르트', '배추겉절이', '쌀밥', '김치찌개', '잡곡밥']",0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"['쫄면야채무침', '치킨핑거', '견과류조림', '팽이장국', '요구르트', '포기김치', '카레덮밥']",0,1,0,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
"['시금치나물', '쇠고기무국', '요구르트', '쌀밥', '주꾸미볶음', '포기김치', '부추전', '잡곡밥']",0,0,1,0,0,0,2,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['돈육씨앗강정', '요구르트', '쌀밥', '우엉잡채', '청경채무침', '포기김치', '떡국', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['양파절임', '도토리묵무침', '요구르트', '쌀밥', '시래기국', '훈제오리구이', '포기김치', '잡곡밥', '쌈무']",0,0,0,0,0,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
"['꽃게탕', '유채나물', '요구르트', '옥수수전', '쌀밥', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,1,0,0,0,3,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['양념장', '연두부', '요구르트', '쌀밥', '닭감자조림', '포기김치', '시금치국', '콩나물무침', '잡곡밥']",0,1,0,1,1,1,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"['취나물', '쇠고기무국', '오징어숙회무침', '요구르트', '쌀밥', '포기김치', '잡곡밥', '탕수어']",0,0,1,0,0,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
"['냉이된장국', '치커리무침', '쇠고기장조림', '요구르트', '쌀밥', '포기김치', '잡곡밥', '통도라지구이']",0,0,0,0,0,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
