메뉴,분류,재료1,재료2
해물우동볶음,면류,,
솎음열무나물무침,무침류,,
짬뽕수제비,,,
해물탕,국탕류,,
닭칼국수,면류,,
단무지락교무침,무침류,,
황도요거트D,소스류,,
쇠고기들깨소스무침,무침류,,
"양상추,",,,
앙버터모닝빵,빵과자류,,
목살구이,구이류,,
깻잎완자전,전류,,
단감치커리무침,무침류,,
(New)순대탕수,튀김류,,
단호박두부탕수,튀김류,,
배추흑임자무침,무침류,,
장각허브오븐구이,구이류,,
(New)밤크림빵,빵과자류,,
가지탕수,튀김류,,
참나물상추겉절이,김치류,,
얼갈이쌈장무침,무침류,,
고구마스프,스프류,,
브로콜리땅콩소스무침,무침류,,
채소전,전류,,
(New)당근크림치즈베이글,빵과자류,,
베이비크랩강정,튀김류,,
건새우무나물,나물류,,
두부양념구이,구이류,,
"알배기,케일숙쌈",채소류,,
매운감자양파국,국탕류,,
커피콩빵,빵과자류,,
쭈꾸미불고기,,,
짜파치킨,,,
마파두부소스,,,
돈육꽈리고추장조림,,,
부추김무침,,,
셀프충무김밥,,,
빌소세지구이,,,
수제찹쌀꿔바로우,,,
멸치마늘종볶음,,,
콩나물오징어국,,,
씨앗콩자반,,,
수제연근유자피클,,,
물만둣국,,,
파게트,,,
코코뱅,,,
볼어묵굴소스볶음,,,
버섯맛살볶음,,,
캔꽁치무조림,,,
블루베리요거트D,,,
머위나물무침,,,
맑은떡국,,,
달래오이무침,,,
꼬막채소무침,,,
더덕양념구이,,,
사천탕수육,,,
쇠고기탕수,,,
치아바타샌드,,,
채소새우죽,,,
오지치즈후라이,,,
볶음고추장,,,
망고푸딩,,,
삼겹살고추장구이,,,
돈육고추장찌개,,,
해물동그랑땡채소볶음,,,
크래미오이보트샐러드,,,
바지락된장찌개,,,
냉이김칫국,,,
왕만두찜,,,
샐러드김밥,,,
납작군만두,,,
애호박새우젓국,,,
건다래순볶음,,,
닭다리튀김,,,
양파장아찌,,,
BLT샌드,,,
해물짜장면,,,
매콤소갈비찜,,,
시금치고추장나물무침,,,
메추리알곤약장조림,,,
양배추숙,,,
깻잎무쌈,,,
(New)아삭이고추무절임,,,
게살모닝샌드,,,
닭살채소굴소스볶음,,,
장각백숙,,,
자반무침,,,
물미역초고추장무침,,,
상추튀김(모둠튀김,,,
쥬시쿨,,,
모둠사태조림,,,
닭살데리야끼조림,,,
비름나물고추장무침,,,
크림치즈와플,,,
콤비네이션피자,,,
춘전닭갈비,,,
돌나물초장무침,,,
버섯초장무침,,,
애호박나물볶음,,,
수제동그랑땡전,,,
옥수수밥,,,
쇠미역쌈,,,
동초나물무침,,,
유니짜장밥,,,
제육미나리볶음,,,
치킨까스김치나베,,,
수제삼색무쌈,,,
세발나물오리엔탈무침,,,
모둠채소전,,,
요거트푸딩,,,
머위나물,,,
렌치D,,,
새송이버섯곤약장조림,,,
비빔냉면,,,
카레홍합찜,,,
양념장),,,
온메밀소바,,,
배추들깨국,,,
청포묵,,,
해초배무침,,,
미니팥칼국수,,,
매콤부들어묵볶음,,,
뉴욕핫도그,,,
생면,,,
쇠고기꽈리고추장조림,,,
(New)수제오떡탕,,,
촉촉한치즈케익,,,
감귤쥬스,,,
가자미조림,,,
돈육춘장볶음,,,
치즈불닭,,,
감자스프,,,
모듬채소,,,
고사리볶음,,,
마늘종호두조림,,,
다대기,,,
매콤어묵볶음,,,
꽁보리밥,,,
쑥갓생무침,,,
매콤돈육메추리알장조림,,,
쇠고기납작당면볶음,,,
적어양념구이,,,
마약계란장조림,,,
비엔나구이,,,
콩나물간장볶음,,,
콩소스D,,,
(New)피자핫도그,,,
"이색나물(호박고지,건취나물)",,,
메추리알떡볶이,,,
메추리알장조림,,,
채소계란찜,,,
오이스틱,,,
(New)단호박계란찜,,,
파인요거트D,,,
돌나물&된장소스,,,
스프링롤,,,
허니순살치킨,,,
숯불양념꼬지어묵,,,
멸치고추장볶음,,,
카레찜닭,,,
반반치킨,,,
(New)로제찜닭,,,
수제두부동그랑땡,,,
차돌박이구이&청경채찜,,,
연유버터베이글,빵과자류,,
크로와상샌드,빵과자류,,
미나리숙주나물,나물류,,
야채모닝샌드,빵과자류,,
매운쇠고기샤브샤브국,국탕류,,
모자반무침,무침류,,
수제오미산적,,,
