,대표식품코드,대표식품명,식품유형,식품분류(대),식품분류(중),식품분류(소),대표식품 내 전통식품수
0,100003,가루전병,복합식품,부식,구이류,전,1
1,100004,가물치국,복합식품,부식,국류,토장국,3
2,100005,가물치회,복합식품,부식,회류,생회,5
3,100009,가시연꽃열매,단일식품,조미식,양념류,양념류,1
4,100010,가시연밥,복합식품,주식,밥류,기타,9
5,100016,가오리어채,복합식품,부식,회류,기타,1
6,100017,가이주,복합식품,주류,기타,기타,1
7,100018,가자미,단일식품,기타,기타,기타,1
8,100019,가자미국,복합식품,부식,국류,기타,1
9,100020,가자미젓,복합식품,부식,젓갈류,발효젓,2
10,100021,가자미조림,복합식품,부식,찜류,조림,1
11,100022,가자미찌개,복합식품,부식,전골류,찌개,1
12,100024,가지,단일식품,기타,기타,기타,2
13,100028,가지국,복합식품,부식,국류,맑은장국,2
14,100029,가지김치,복합식품,부식,김치,야채김치,13
15,100030,가지나물,복합식품,부식,나물류,숙채,9
16,100031,가지누르미,복합식품,부식,구이류,구이,1
17,100033,가지말림,단일식품,기타,기타,기타,2
18,100034,가지선,복합식품,부식,찜류,선,4
19,100035,가지장,복합식품,조미식,장류,기타,1
20,100037,가지장아찌,복합식품,부식,장아찌류,장아찌,10
21,100039,가지전,복합식품,부식,구이류,전,2
22,100040,가지절임,복합식품,기타,기타,기타,12
23,100041,가지조림,복합식품,기타,기타,기타,5
24,100042,가지지,복합식품,기타,기타,기타,4
25,100043,가지지게미,복합식품,기타,기타,기타,2
26,100044,가지지게미절임,복합식품,기타,기타,기타,7
27,100047,가지찜,단일식품,부식,찜류,찜,9
28,100050,가집장,복합식품,조미식,장류,기타,1
29,100051,가짜장,복합식품,조미식,장류,기타,1
30,100052,가초선,복합식품,부식,회류,생회,1
31,100053,가화육,복합식품,부식,회류,생회,1
32,100054,간,단일식품,부식,찜류,볶음,1
33,100055,간구이,복합식품,기타,기타,기타,3
34,100057,간무침,복합식품,부식,장아찌류,기타,1
35,100058,간볶음,복합식품,부식,찜류,볶음,2
36,100060,간장,복합식품,조미식,장류,간장,18
37,100061,간장게장,복합식품,부식,젓갈류,발효젓,4
38,100062,간장구이,복합식품,부식,구이류,구이,1
39,100064,간전,복합식품,부식,구이류,전유어,11
40,100066,간조림,복합식품,부식,찜류,조림,1
41,100067,간회,복합식품,부식,회류,기타,1
42,100068,갈근,단일식품,기타,기타,기타,2
43,100069,갈근시루떡,복합식품,기호식,떡류,찐떡,1
44,100070,갈대가루면,복합식품,주식,면류,국수,1
45,100071,갈대잎찰밥,복합식품,주식,밥류,흰밥,1
46,100072,갈분국,복합식품,주식,면류,국수,1
47,100074,갈분다식,복합식품,기호식,한과류,다식,1
48,100075,갈분사면화채,복합식품,주식,면류,국수,1
49,100076,갈분응이,복합식품,주식,죽류,응이,7
50,100078,갈비구이,복합식품,부식,구이류,구이,8
51,100081,갈비숙회,복합식품,부식,회류,기타,1
52,100083,갈비찜,복합식품,부식,찜류,찜,13
53,100084,갈비탕,복합식품,부식,국류,탕류,9
54,100086,갈치젓,복합식품,부식,젓갈류,발효젓,1
55,100087,갈치조림,복합식품,부식,찜류,조림,2
56,100088,감,단일식품,기타,기타,기타,3
57,100090,감국,복합식품,기타,기타,기타,3
58,100091,감국나물,복합식품,부식,나물류,숙채,2
59,100092,감국싹죽,복합식품,주식,죽류,죽,1
60,100093,감국잎,단일식품,조미식,양념류,고명류,1
61,100094,감국전,복합식품,부식,구이류,전,1
62,100096,귤,단일식품,기타,기타,기타,7
63,100098,귤정과,복합식품,기호식,한과류,정과,5
64,100100,감꼭지,단일식품,조미식,양념류,양념류,1
65,100102,감떡,복합식품,기호식,떡류,찐떡,7
66,100106,감사과,복합식품,기호식,한과류,유밀과,16
67,100107,감스프,복합식품,기타,기타,기타,1
68,100108,감식초,복합식품,조미식,양념류,양념류,8
69,100110,감나무잎전,복합식품,부식,구이류,전,1
70,100117,감자만두,복합식품,주식,면류,만두,1
